GEOID,TractFIPS,poverty_pct,low_edu_pct,single_parent_pct,renter_pct,overcrowded_pct,no_vehicle_pct,nonemployed_u65_pct,MHLTH_CrudePrev,OBESITY_CrudePrev,miss_poverty_pct,miss_low_edu_pct,miss_single_parent_pct,miss_renter_pct,miss_overcrowded_pct,miss_no_vehicle_pct,miss_nonemployed_u65_pct,miss_MHLTH_CrudePrev,miss_OBESITY_CrudePrev
06037990100,,,,,,,,,,,True,True,True,True,True,True,True,True,True
06037990200,,,,,,,,,,,True,True,True,True,True,True,True,True,True
06037990300,,,,,,,,,,,True,True,True,True,True,True,True,True,True
06041122000,06041122000,,37.43565746373421,,,,,100.0,14.4,31.1,True,False,True,True,True,True,False,False,False
06041990100,,,,,,,,,,,True,True,True,True,True,True,True,True,True
06045990100,,,,,,,,,,,True,True,True,True,True,True,True,True,True
06053014104,06053014104,,0.0,,,,,57.4,19.8,16.3,True,False,True,True,True,True,False,False,False
06053980000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
06053990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
06059021813,,0.0,0.0,,0.0,0.0,0.0,0.0,,,False,False,True,False,False,False,False,True,True
06059980000,,,,,,,,50.0,,,True,True,True,True,True,True,False,True,True
06059990100,,,,,,,,,,,True,True,True,True,True,True,True,True,True
06061990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
06065980004,,,,,,,,,,,True,True,True,True,True,True,True,True,True
06065981000,06065981000,,39.022157114081665,,,,,100.0,14.9,40.5,True,False,True,True,True,True,False,False,False
06071012300,06071012300,69.3,42.80521701945691,,,,,99.6,23.1,48.2,False,False,True,True,True,True,False,False,False
06071980100,,,,,,,,,,,True,True,True,True,True,True,True,True,True
06071980200,06071980200,,30.08800880088009,,,,,100.0,17.8,41.5,True,False,True,True,True,True,False,False,False
06073003800,06073003800,,0.0,,,,,99.8,19.5,20.9,True,False,True,True,True,True,False,False,False
06073005500,06073005500,,0.0,,,,,100.0,16.4,17.4,True,False,True,True,True,True,False,False,False
06073006200,06073006200,,,,,,,100.0,11.8,22.4,True,True,True,True,True,True,False,False,False
06073006300,06073006300,,0.0,,,,,95.9,18.6,15.4,True,False,True,True,True,True,False,False,False
06073009902,,,,,,,,,,,True,True,True,True,True,True,True,True,True
06073990100,,,,,,,,,,,True,True,True,True,True,True,True,True,True
06075980300,06075980300,0.0,0.0,,100.0,0.0,37.5,6.299999999999997,10.8,16.8,False,False,True,False,False,False,False,False,False
06075980401,,,,,,,,,,,True,True,True,True,True,True,True,True,True
06075990100,,,,,,,,,,,True,True,True,True,True,True,True,True,True
06079011400,06079011400,,34.4267955801105,,,,,100.0,16.1,35.7,True,False,True,True,True,True,False,False,False
06079990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
06081984300,,,,,,,,,,,True,True,True,True,True,True,True,True,True
06081990100,,,,,,,,,,,True,True,True,True,True,True,True,True,True
06083980000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
06083980100,,100.0,0.0,,,,,100.0,,,False,False,True,True,True,True,False,True,True
06083990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
06087990100,,,,,,,,,,,True,True,True,True,True,True,True,True,True
06095253000,06095253000,,36.49296675191816,,,,,100.0,14.3,38.3,True,False,True,True,True,True,False,False,False
06095980000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
06097990100,,,,,,,,,,,True,True,True,True,True,True,True,True,True
06107004000,06107004000,52.8,43.6426116838488,,,,,96.1,21.5,41.4,False,False,True,True,True,True,False,False,False
06109985202,06109985202,,34.0722891566265,,,,,100.0,15.0,32.0,True,False,True,True,True,True,False,False,False
06111980000,06111980000,,0.0,,,,,100.0,15.0,24.8,True,False,True,True,True,True,False,False,False
06111990100,,,,,,,,,,,True,True,True,True,True,True,True,True,True
08001988700,,,,,,,,,,,True,True,True,True,True,True,True,True,True
08014980100,,,,,,,,,,,True,True,True,True,True,True,True,True,True
08014980200,,,,,,,,,,,True,True,True,True,True,True,True,True,True
08014980300,,,,,,,,,,,True,True,True,True,True,True,True,True,True
08031980100,,,,,,,,,,,True,True,True,True,True,True,True,True,True
08041003802,08041003802,,0.0,,,,,99.7,18.0,13.5,True,False,True,True,True,True,False,False,False
08043980100,08043980100,,14.634146341463413,,,,,100.0,14.4,32.2,True,False,True,True,True,True,False,False,False
08043980200,08043980200,,18.841522941750732,,,,,100.0,13.0,31.2,True,False,True,True,True,True,False,False,False
08043980300,08043980300,,19.061530034690524,,,,,100.0,15.1,30.9,True,False,True,True,True,True,False,False,False
08059980000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
08059980400,08059980400,,8.975377283558378,,,,,100.0,11.5,29.5,True,False,True,True,True,True,False,False,False
08069002803,08069002803,37.7,0.0,,82.14285714285714,0.0,0.0,10.400000000000006,13.7,26.6,False,False,True,False,False,False,False,False,False
08101000300,08101000300,90.9,30.442374854481958,,,,,100.0,30.3,43.3,False,False,True,True,True,True,False,False,False
08101000903,08101000903,87.8,0.0,,100.0,0.0,0.0,43.3,32.6,28.2,False,False,True,False,False,False,False,False,False
08101980100,,,,,,,,,,,True,True,True,True,True,True,True,True,True
08123000300,08123000300,,0.0,,,,,54.3,24.8,19.0,True,False,True,True,True,True,False,False,False
09001990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
09003417300,09003417300,100.0,0.0,,100.0,0.0,100.0,90.3,33.2,30.1,False,False,True,False,False,False,False,False,False
09003500700,09003500700,,58.894878706199464,,,,,100.0,16.9,35.4,True,False,True,True,True,True,False,False,False
09003980000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
09007990100,,,,,,,,,,,True,True,True,True,True,True,True,True,True
09009990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
09011980000,09011980000,,0.0,,,,,92.9,17.9,22.3,True,False,True,True,True,True,False,False,False
09011990100,,,,,,,,,,,True,True,True,True,True,True,True,True,True
09013538100,09013538100,,28.336495888678055,,,,,100.0,13.1,32.9,True,False,True,True,True,True,False,False,False
10001990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
10003980100,,,,,,,,,,,True,True,True,True,True,True,True,True,True
10003990100,,,,,,,,,,,True,True,True,True,True,True,True,True,True
10005990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
11001000201,11001000201,18.1,0.0,,,,,57.1,23.2,16.3,False,False,True,True,True,True,False,False,False
11001006202,,0.0,0.0,,100.0,100.0,0.0,0.0,,,False,False,True,False,False,False,False,True,True
12005990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12009980000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12009980100,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12009990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12011980000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12011990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12015990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12017990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12021990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12029990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12031990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12033990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12035990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12037990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12037990100,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12043990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12045990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12051990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12053990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12055980000,,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,False,False,False,True,True,True
12055980100,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12055980200,,0.0,0.0,0.0,37.5,0.0,0.0,0.0,,,False,False,False,False,False,False,False,True,True
12057010900,12057010900,100.0,21.311475409836063,,100.0,0.0,0.0,73.1,37.3,28.0,False,False,True,False,False,False,False,False,False
12057980100,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12057980200,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12057980300,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12057980500,,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,,False,False,False,False,False,False,False,True,True
12057980600,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12057980700,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12057990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12057990100,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12061980000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12061990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12065990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12071980000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12071990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12073001300,12073001300,66.7,3.125,,,,,76.2,31.5,22.5,False,False,True,True,True,True,False,False,False
12075990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12081990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12083980000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12083980100,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12085990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12085990100,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12086003706,12086003706,,21.70212765957447,,,,,100.0,16.2,33.0,True,False,True,True,True,True,False,False,False
12086008904,12086008904,,0.0,,,,,67.1,21.9,17.7,True,False,True,True,True,True,False,False,False
12086014100,12086014100,,41.6557161629435,,,,,100.0,17.0,28.8,True,False,True,True,True,True,False,False,False
12086980100,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12086980200,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12086980400,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12086980500,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12086980600,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12086980800,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12086980900,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12086981000,12086981000,,,,,,,,13.9,14.8,True,True,True,True,True,True,True,False,False
12086990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12087980000,,0.0,0.0,0.0,73.33333333333333,0.0,0.0,0.0,,,False,False,False,False,False,False,False,True,True
12087980100,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12087990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12089990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12091990100,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12091990200,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12093990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12095990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12099007100,12099007100,,0.0,,,,,51.7,22.3,16.2,True,False,True,True,True,True,False,False,False
12099008102,12099008102,,,,,,,,19.7,39.3,True,True,True,True,True,True,True,False,False
12099980000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12099980100,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12099980200,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12099980400,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12099980500,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12099990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
